EpisodeNumber,Date,LastName,FirstName,City,State,GameWinner,TotalAtt,TotalBuz,TotalBuzPercentage,TotalCorrect,TotalIncorrect,CorrectPercentage,TotalDdCorrect,TotalDdIncorrect,TotalDdWinnings,FinalScore,TotalTripleStumpers
8986,"February 1, 2024",ZAHEER,JUVERIA,WHITBY,ONTARIO,false,47,24,51.00,23,3,88.00,2,0,15200,0,0
8986,"February 1, 2024",TIRRELL,ANDY,SAN DIEGO,CALIFORNIA,false,34,12,35.00,11,1,92.00,0,0,0,0,0
8986,"February 1, 2024",MENKHUS,MICHAEL,KANSAS CITY,MISSOURI,false,41,21,51.00,20,2,91.00,1,0,1800,0,0
8981,"January 31, 2024",MENKHUS,MICHAEL,KANSAS CITY,MISSOURI,true,35,28,80.00,26,3,90.00,0,1,-2000,0,0
8981,"January 31, 2024",PORTMAN,ERIN,NAPERVILLE,ILLINOIS,false,32,8,25.00,7,1,88.00,0,0,0,0,0
8981,"January 31, 2024",CHEUNG,RON,LAKEWOOD,OHIO,false,39,22,56.00,20,4,83.00,0,2,-6200,0,0
8976,"January 30, 2024",ZAHEER,JUVERIA,WHITBY,ONTARIO,true,45,26,58.00,23,4,85.00,0,1,-1000,0,0
8976,"January 30, 2024",CHAO,ALEC,Originally FORT LAUDERDALE,FLORIDA,false,36,17,47.00,13,4,76.00,0,0,0,0,0
8976,"January 30, 2024",RAMIREZ,ROBBI,ORLANDO,FLORIDA,false,30,12,40.00,13,1,93.00,2,0,13000,0,0
8971,"January 29, 2024",SY,LLOYD,Originally ROCKFORD,ILLINOIS,false,43,23,53.00,20,4,83.00,1,0,2000,0,0
8971,"January 29, 2024",TIRRELL,ANDY,SAN DIEGO,CALIFORNIA,true,44,26,59.00,24,3,89.00,1,0,3800,0,0
8971,"January 29, 2024",BATH,MARTHA,SEATTLE,WASHINGTON,false,33,10,30.00,11,0,100.00,1,0,3000,0,0
8961,"January 26, 2024",GHATTAS,TAMARA,CHICAGO,ILLINOIS,false,34,15,44.00,14,3,82.00,1,1,-2500,0,0
8961,"January 26, 2024",MENKHUS,MICHAEL,KANSAS CITY,MISSOURI,true,39,28,72.00,28,1,97.00,1,0,2600,0,0
8961,"January 26, 2024",SOPHER,ITTAI,NEW ORLEANS,LOUISIANA,false,28,13,46.00,10,3,77.00,0,0,0,0,0
8956,"January 25, 2024",STOBEROCK,JOHANNA,WALLA WALLA,WASHINGTON,false,36,11,31.00,11,0,100.00,0,0,0,0,0
8956,"January 25, 2024",SEARS,CONNOR,QUEENS,NEW YORK,false,46,28,61.00,23,6,79.00,0,1,-2000,0,0
8956,"January 25, 2024",CHAO,ALEC,Originally FORT LAUDERDALE,FLORIDA,true,30,18,60.00,16,4,80.00,2,0,4400,0,0
8951,"January 24, 2024",HUPP,DILLON,SYRACUSE,NEW YORK,false,29,14,48.00,13,2,87.00,1,0,5000,0,0
8951,"January 24, 2024",SY,LLOYD,Originally ROCKFORD,ILLINOIS,true,37,30,81.00,30,2,94.00,1,1,-200,0,0
8951,"January 24, 2024",BARRY,KELLY,SEATTLE,WASHINGTON,false,37,11,30.00,8,3,73.00,0,0,0,0,0
8946,"January 23, 2024",RAMIREZ,ROBBI,ORLANDO,FLORIDA,true,38,21,55.00,20,2,91.00,0,1,-5800,0,0
8946,"January 23, 2024",Di VITO,LYNN,COLORADO SPRINGS,COLORADO,false,26,12,46.00,11,1,92.00,0,0,0,0,0
8946,"January 23, 2024",BROWN,XANNI,Originally CINCINNATI,OHIO,false,42,24,57.00,21,5,81.00,1,1,400,0,0
8941,"January 22, 2024",HASSEL,HOLLY,CALUMET,MICHIGAN,false,38,18,47.00,15,3,83.00,0,0,0,100,0
8941,"January 22, 2024",MOORE,DANIEL,PITTSBURGH,PENNSYLVANIA,false,41,21,51.00,19,3,86.00,1,0,3000,0,0
8941,"January 22, 2024",CHEUNG,RON,LAKEWOOD,OHIO,true,39,18,46.00,16,4,80.00,2,0,8000,0,0
8936,"January 19, 2024",WHITE,BRYAN,Originally SANTA MARIA,CALIFORNIA,false,36,22,61.00,18,4,82.00,0,0,0,0,0
8936,"January 19, 2024",PORTMAN,ERIN,NAPERVILLE,ILLINOIS,true,48,20,42.00,19,3,86.00,1,1,-1800,0,0
8936,"January 19, 2024",CLARK,RACHEL,WASHINGTON,DC,false,33,17,52.00,15,3,83.00,0,1,-1400,0,0
8931,"January 18, 2024",BATH,MARTHA,SEATTLE,WASHINGTON,true,35,14,40.00,13,1,93.00,0,0,0,0,0
8931,"January 18, 2024",WESTERHAUS,KENDRA,POCATELLO,IDAHO,false,37,20,54.00,15,6,71.00,1,0,1000,0,0
8931,"January 18, 2024",BERRY,NIK,BALTIMORE,MARYLAND,false,42,25,60.00,22,5,81.00,0,2,-12600,799,0
8926,"January 17, 2024",LOHMAN,DEVIN,PEACHTREE CITY,GEORGIA,false,27,11,41.00,9,2,82.00,0,0,0,0,0
8926,"January 17, 2024",ZAHEER,JUVERIA,WHITBY,ONTARIO,true,50,33,66.00,30,6,83.00,3,0,16400,0,0
8926,"January 17, 2024",PALMER,PATTI,TULSA,OKLAHOMA,false,41,16,39.00,13,3,81.00,0,0,0,0,0
8921,"January 16, 2024",TIRRELL,ANDY,SAN DIEGO,CALIFORNIA,true,32,21,66.00,21,1,95.00,1,0,5000,0,0
8921,"January 16, 2024",PALUMBO,KATIE,AMAWALK,NEW YORK,false,40,26,65.00,17,10,63.00,1,0,1800,0,0
8921,"January 16, 2024",STONE,SHARON,ROUND ROCK,TEXAS,false,27,9,33.00,8,2,80.00,1,0,1500,100,0
8901,"January 15, 2024",CAMARA,ROY,CRAWFORDVILLE,FLORIDA,false,43,27,63.00,24,4,86.00,0,1,-10400,0,0
8901,"January 15, 2024",NGUYEN,LONG,LAS VEGAS,NEVADA,true,45,23,51.00,22,3,88.00,2,0,6000,0,0
8901,"January 15, 2024",KUKOYI,ROTIMI,HOOVER,ALABAMA,false,32,8,25.00,6,2,75.00,0,0,0,0,0
8896,"January 12, 2024",CAMARA,ROY,CRAWFORDVILLE,FLORIDA,false,42,25,60.00,20,7,74.00,1,1,-9200,0,0
8896,"January 12, 2024",NGUYEN,LONG,LAS VEGAS,NEVADA,false,38,21,55.00,17,5,77.00,1,0,9200,0,0
8896,"January 12, 2024",KUKOYI,ROTIMI,HOOVER,ALABAMA,false,18,10,56.00,9,1,90.00,0,0,0,0,0
8891,"January 11, 2024",NGUYEN,LONG,LAS VEGAS,NEVADA,true,47,22,47.00,18,4,82.00,0,0,0,0,0
8891,"January 11, 2024",STREKAL,ALLISON,MISSOULA,MONTANA,false,37,14,38.00,14,2,88.00,2,0,10800,1,0
8891,"January 11, 2024",GUSZKOWSKI,JOHN,POMFRET,CONNECTICUT,false,48,27,56.00,24,4,86.00,1,0,4000,0,0
8886,"January 10, 2024",CAMARA,ROY,CRAWFORDVILLE,FLORIDA,true,43,30,70.00,28,5,85.00,2,1,10800,0,0
8886,"January 10, 2024",VALLELY,MICHAEL,CLEVELAND,OHIO,false,30,14,47.00,10,4,71.00,0,0,0,0,0
8886,"January 10, 2024",CARLON,DENISE,SEASIDE HEIGHTS,NEW JERSEY,false,32,14,44.00,13,1,93.00,0,0,0,0,0
8881,"January 9, 2024",KUKOYI,ROTIMI,HOOVER,ALABAMA,true,26,20,77.00,15,6,71.00,1,0,5400,0,0
8881,"January 9, 2024",MARQUET,APRIL,OAKLAND,CALIFORNIA,false,38,15,39.00,13,2,87.00,0,0,0,0,0
8881,"January 9, 2024",WARREN,PAM,PETERSBURG,ILLINOIS,false,29,19,66.00,18,3,86.00,1,1,-5000,0,0
8876,"January 8, 2024",HARVEY,MATT,PROVIDENCE,RHODE ISLAND,true,45,22,49.00,20,3,87.00,1,0,5400,0,0
8876,"January 8, 2024",CAVALIERE,MICHAEL,NEW YORK,NEW YORK,false,40,22,55.00,21,3,88.00,2,0,14200,0,0
8876,"January 8, 2024",RAYFORD,RANDALL,HOUSTON,TEXAS,false,43,16,37.00,12,4,75.00,0,0,0,0,0
8871,"January 5, 2024",HARVEY,MATT,PROVIDENCE,RHODE ISLAND,false,40,17,43.00,18,1,95.00,1,1,0,0,0
8871,"January 5, 2024",CAVALIERE,MICHAEL,NEW YORK,NEW YORK,false,39,19,49.00,17,3,85.00,0,1,-1600,0,0
8871,"January 5, 2024",RAYFORD,RANDALL,HOUSTON,TEXAS,false,42,21,50.00,17,4,81.00,0,0,0,0,0
8866,"January 4, 2024",HARVEY,MATT,PROVIDENCE,RHODE ISLAND,true,42,23,55.00,22,1,96.00,0,0,0,0,0
8866,"January 4, 2024",DAVISON,MAX,STUDIO CITY,CALIFORNIA,false,29,17,59.00,15,4,79.00,1,1,800,0,0
8866,"January 4, 2024",SHANNON-HENDERSON,KELLY,CINCINNATI,OHIO,false,38,14,37.00,13,2,87.00,1,0,4400,0,0
8861,"January 3, 2024",WHATLEY,ANDREW,Originally BEAUREGARD,ALABAMA,false,44,17,39.00,14,4,78.00,0,1,-3600,0,0
8861,"January 3, 2024",RAYFORD,RANDALL,HOUSTON,TEXAS,true,50,24,48.00,21,4,84.00,1,0,9200,0,0
8861,"January 3, 2024",COHEN,RACHEL,Originally CHEVY CHASE,MARYLAND,false,46,20,43.00,18,3,86.00,1,0,1600,0,0
8856,"January 2, 2024",WENG,SOPHIA,CHEVY CHASE,MARYLAND,false,42,18,43.00,18,1,95.00,1,0,1400,399,0
8856,"January 2, 2024",BISHOP,SHARON,PAWTUCKET,RHODE ISLAND,false,23,10,43.00,9,1,90.00,0,0,0,0,0
8856,"January 2, 2024",CAVALIERE,MICHAEL,NEW YORK,NEW YORK,true,41,23,56.00,25,0,100.00,2,0,7400,0,0
8851,"January 1, 2024",CZAJA,GREG,SAN DIEGO,CALIFORNIA,false,33,20,61.00,17,5,77.00,1,1,3200,0,0
8851,"January 1, 2024",BROWN,XANNI,Originally CINCINNATI,OHIO,true,35,14,40.00,14,1,93.00,1,0,3800,0,0
8851,"January 1, 2024",PENNANT,CHRISTOPHER,CHICAGO,ILLINOIS,false,36,18,50.00,15,3,83.00,0,0,0,0,0
8846,"December 29, 2023",CZAJA,GREG,SAN DIEGO,CALIFORNIA,false,42,24,57.00,23,2,92.00,1,0,5200,0,0
8846,"December 29, 2023",BROWN,XANNI,Originally CINCINNATI,OHIO,false,40,18,45.00,16,3,84.00,1,0,6000,0,0
8846,"December 29, 2023",PENNANT,CHRISTOPHER,CHICAGO,ILLINOIS,false,43,13,30.00,12,2,86.00,1,0,2000,0,0
8841,"December 28, 2023",MATTA,RAQUEL,SAN PABLO,CALIFORNIA,false,36,14,39.00,13,1,93.00,0,0,0,0,0
8841,"December 28, 2023",CUTTER,MITCH,BOISE,IDAHO,false,37,22,59.00,18,5,78.00,0,1,-1800,0,0
8841,"December 28, 2023",BROWN,XANNI,Originally CINCINNATI,OHIO,true,49,24,49.00,21,5,81.00,2,0,7800,0,0
8836,"December 27, 2023",HEBERT,BEN,CHICAGO,ILLINOIS,false,43,25,58.00,20,5,80.00,0,0,0,0,0
8836,"December 27, 2023",CZAJA,GREG,SAN DIEGO,CALIFORNIA,true,40,19,48.00,21,1,95.00,3,0,15200,0,0
8836,"December 27, 2023",GRONER,TAMMY,HAMILTON,NEW JERSEY,false,39,13,33.00,12,1,92.00,0,0,0,0,0
8831,"December 26, 2023",PENNANT,CHRISTOPHER,CHICAGO,ILLINOIS,true,38,20,53.00,17,3,85.00,0,0,0,0,0
8831,"December 26, 2023",KAWALER,EMILY,NEW YORK,NEW YORK,false,46,25,54.00,23,5,82.00,1,2,-7000,0,0
8831,"December 26, 2023",KARP,MYLES,WESTON,FLORIDA,false,34,13,38.00,12,1,92.00,0,0,0,0,0
8826,"December 25, 2023",ZAHEER,JUVERIA,WHITBY,ONTARIO,true,49,24,49.00,23,3,88.00,2,0,5800,0,0
8826,"December 25, 2023",CARPENTER,JASON,SANTA ROSA VALLEY,CALIFORNIA,false,43,24,56.00,22,3,88.00,0,1,-2000,0,0
8826,"December 25, 2023",MASUCCI,IRIS,ROCKVILLE,MARYLAND,false,36,11,31.00,10,1,91.00,0,0,0,0,0
8821,"December 22, 2023",ZAHEER,JUVERIA,WHITBY,ONTARIO,false,49,31,63.00,32,1,97.00,2,0,20000,0,0
8821,"December 22, 2023",CARPENTER,JASON,SANTA ROSA VALLEY,CALIFORNIA,false,34,12,35.00,11,1,92.00,0,0,0,0,0
8821,"December 22, 2023",MASUCCI,IRIS,ROCKVILLE,MARYLAND,false,30,13,43.00,13,1,93.00,1,0,1000,0,0
8816,"December 21, 2023",MASUCCI,IRIS,ROCKVILLE,MARYLAND,true,31,14,45.00,13,3,81.00,1,1,1500,0,0
8816,"December 21, 2023",MORRIS,KAREN,CHRISTIANSBURG,VIRGINIA,false,32,20,63.00,17,3,85.00,0,0,0,0,0
8816,"December 21, 2023",VAZ,MICHAEL,MISSISSAUGA,ONTARIO,false,33,19,58.00,15,5,75.00,0,1,-4800,0,0
8811,"December 20, 2023",ZAHEER,JUVERIA,WHITBY,ONTARIO,true,52,27,52.00,24,4,86.00,1,0,15200,0,0
8811,"December 20, 2023",CLAUSSEN,SAM,SANTA CLARITA,CALIFORNIA,false,38,20,53.00,21,0,100.00,1,0,3000,0,0
8811,"December 20, 2023",GARRETT,JAKE,TRUSSVILLE,ALABAMA,false,30,12,40.00,13,0,100.00,1,0,7300,0,0
8806,"December 19, 2023",CARPENTER,JASON,SANTA ROSA VALLEY,CALIFORNIA,true,39,21,54.00,17,4,81.00,0,0,0,0,0
8806,"December 19, 2023",THOMAS,EVA,BROOKLYN,NEW YORK,false,43,16,37.00,15,2,88.00,0,1,-2000,0,0
8806,"December 19, 2023",ELLIOTT,MIKE,Originally DERRY,NEW HAMPSHIRE,false,39,17,44.00,17,2,89.00,1,1,-9801,0,0
8801,"December 18, 2023",WANG,YUNGSHENG,Originally LAFAYETTE,LOUISIANA,true,40,21,53.00,22,1,96.00,2,0,17000,0,0
8801,"December 18, 2023",VANDENBERG,TYLER,Currently Serving In STUTTGART,GERMANY,false,31,14,45.00,14,0,100.00,0,0,0,0,0
8801,"December 18, 2023",HOLLIS,GARY,ROANOKE,VIRGINIA,false,37,21,57.00,21,1,95.00,0,1,-2600,0,0
8796,"December 15, 2023",WANG,YUNGSHENG,Originally LAFAYETTE,LOUISIANA,false,44,22,50.00,20,2,91.00,0,0,0,0,0
8796,"December 15, 2023",VANDENBERG,TYLER,Currently Serving In STUTTGART,GERMANY,false,34,13,38.00,11,2,85.00,0,0,0,0,0
8796,"December 15, 2023",HOLLIS,GARY,ROANOKE,VIRGINIA,false,40,22,55.00,21,4,84.00,2,1,2600,0,0
8791,"December 14, 2023",MARCOTTE,GARRETT,BOULDER,COLORADO,false,42,13,31.00,12,2,86.00,0,1,-1800,0,0
8791,"December 14, 2023",WANG,YUNGSHENG,Originally LAFAYETTE,LOUISIANA,true,46,27,59.00,22,5,81.00,0,0,0,0,0
8791,"December 14, 2023",CHAIKIN,ANDREW,SAN FRANCISCO,CALIFORNIA,false,40,17,43.00,18,1,95.00,2,0,12600,0,0
8786,"December 13, 2023",VANDENBERG,TYLER,Currently Serving In STUTTGART,GERMANY,true,34,20,59.00,18,2,90.00,0,0,0,0,0
8786,"December 13, 2023",SALTZBERG,EMMA,BROOKLYN,NEW YORK,false,27,14,52.00,13,2,87.00,1,0,1200,0,0
8786,"December 13, 2023",COULSON,ED,DANA POINT,CALIFORNIA,false,37,22,59.00,19,5,79.00,0,2,-7000,0,0
8781,"December 12, 2023",HOLLIS,GARY,ROANOKE,VIRGINIA,true,45,30,67.00,26,6,81.00,1,1,2400,0,0
8781,"December 12, 2023",MARKHAM,JULIA,BROOKLYN,NEW YORK,false,48,18,38.00,15,4,79.00,0,1,-4000,0,0
8781,"December 12, 2023",BAER,HENRY,SAN FRANCISCO,CALIFORNIA,false,36,14,39.00,12,2,86.00,0,0,0,0,0
8776,"December 11, 2023",DORAI,AMAL,SAN FRANCISCO,CALIFORNIA,false,34,17,50.00,16,3,84.00,1,1,0,0,0
8776,"December 11, 2023",OLYAIE,DONESH,LOS ANGELES,CALIFORNIA,false,41,24,59.00,20,4,83.00,0,0,0,0,0
8776,"December 11, 2023",SALTZBERG,EMMA,BROOKLYN,NEW YORK,true,36,15,42.00,16,0,100.00,1,0,2000,0,0
8771,"December 8, 2023",HOLLIS,GARY,ROANOKE,VIRGINIA,true,42,21,50.00,19,4,83.00,2,0,6000,0,0
8771,"December 8, 2023",CHAN,CARMELA,SAN DIEGO,CALIFORNIA,false,42,20,48.00,18,2,90.00,0,0,0,0,0
8771,"December 8, 2023",SPURNEY,JON,LOS ANGELES,CALIFORNIA,false,50,19,38.00,18,2,90.00,0,1,-2000,0,0
8766,"December 7, 2023",SHEWFELT,SCOTT,,,false,32,15,47.00,13,3,81.00,1,0,6400,0,0
8766,"December 7, 2023",WANG,YUNGSHENG,Originally LAFAYETTE,LOUISIANA,true,35,19,54.00,15,4,79.00,0,0,0,0,0
8766,"December 7, 2023",LOZANO,ROBIN,SHAVERTOWN,PENNSYLVANIA,false,38,21,55.00,18,5,78.00,1,1,-2000,0,0
8761,"December 6, 2023",COULSON,ED,DANA POINT,CALIFORNIA,true,45,17,38.00,16,2,89.00,1,0,3000,0,0
8761,"December 6, 2023",FREEMAN,KATE,Originally LAKE ORION,MICHIGAN,false,38,18,47.00,15,4,79.00,0,1,-1000,0,0
8761,"December 6, 2023",HUME,PATRICK,VAN NUYS,CALIFORNIA,false,43,21,49.00,20,2,91.00,0,1,-3000,0,0
8756,"December 5, 2023",PORTWOOD-STACER,LAURA,Originally LIVONIA,MICHIGAN,false,33,10,30.00,10,0,100.00,0,0,0,0,0
